".W_402","[Lunes] =[0630 - 0750, 0800 - 0920, 1100 - 1220, 1400 - 1650, 1230 - 1350, 1700 - 1820, 0930 - 1050] [Martes] =[0630 - 0750, 1100 - 1220, 1800 - 2050, 0930 - 1050, 1400 - 1520, 1530 - 1650, 0800 - 0920, 1230 - 1350] [Miércoles] =[0630 - 0750, 1100 - 1250, 1500 - 1650, 0800 - 0920, 1700 - 1820, 0930 - 1050, 1400 - 1450] [Jueves] =[1100 - 1220, 1400 - 1520, 0930 - 1050, 1700 - 1950, 0630 - 0750, 1530 - 1650, 1230 - 1350, 0800 - 0920] [Viernes] =[0630 - 0750, 1100 - 1220, 1530 - 1820, 0800 - 0920, 0930 - 1020, 1400 - 1520, 1230 - 1350] [Sabado] =[0800 - 1220, 1100 - 1350] [Domingo] =[] "
".AU_201","[Lunes] =[0800 - 0920, 1100 - 1220, 0930 - 1050, 1700 - 1850, 1230 - 1350, 1400 - 1450, 0630 - 0720] [Martes] =[1100 - 1220, 1230 - 1350, 1530 - 1650, 1400 - 1520, 0930 - 1050, 1700 - 1820, 0630 - 0720] [Miércoles] =[1500 - 1650, 0800 - 0920, 1700 - 1820, 0930 - 1050, 1100 - 1220, 1230 - 1350, 1400 - 1450] [Jueves] =[0800 - 0920, 1100 - 1220, 1230 - 1350, 1400 - 1520, 0930 - 1050, 1700 - 1820, 0630 - 0720] [Viernes] =[1100 - 1220, 1530 - 1650, 0800 - 0920, 1700 - 1820, 0930 - 1050, 1230 - 1350, 1400 - 1450, 0630 - 0720] [Sabado] =[0930 - 1220] [Domingo] =[] "
".ML_108B","[Lunes] =[0800 - 0920, 0930 - 1050, 0630 - 0750, 1100 - 1220, 1230 - 1350, 1400 - 1520, 1530 - 1650] [Martes] =[1400 - 1520, 1530 - 1650, 0930 - 1050, 1230 - 1350, 1700 - 1820, 1100 - 1220] [Miércoles] =[1400 - 1520, 0930 - 1050, 0800 - 0920, 1100 - 1220, 1530 - 1650, 1700 - 1820, 1230 - 1350] [Jueves] =[0630 - 0750, 0800 - 0920, 1400 - 1520, 1230 - 1350] [Viernes] =[0630 - 0750, 0930 - 1050, 1530 - 1650, 1230 - 1350, 0800 - 0920, 1400 - 1450] [Sabado] =[] [Domingo] =[] "
".ML_207","[Lunes] =[0800 - 0920, 1230 - 1350, 1400 - 1520, 0630 - 0750, 1530 - 1650, 0930 - 1050, 1700 - 1820, 1100 - 1220] [Martes] =[1400 - 1520, 1100 - 1220, 1230 - 1350] [Miércoles] =[0800 - 0920, 1230 - 1350, 1400 - 1520, 1700 - 1820, 1530 - 1650] [Jueves] =[1400 - 1520, 1700 - 1820, 0800 - 0920, 1100 - 1220, 1230 - 1350, 1530 - 1650] [Viernes] =[0800 - 0920, 0630 - 0750, 1400 - 1520, 0930 - 1050, 1100 - 1220, 1230 - 1350] [Sabado] =[] [Domingo] =[] "
".Z_203","[Lunes] =[0630 - 0920, 1100 - 1250, 1300 - 1350, 0930 - 1050, 1530 - 1650] [Martes] =[0630 - 0750, 0800 - 0920, 1400 - 1520, 0930 - 1050, 1100 - 1250, 1530 - 1650] [Miércoles] =[1100 - 1250, 0630 - 0750, 0930 - 1050, 1530 - 1650, 0800 - 0850] [Jueves] =[0630 - 0750, 0800 - 0920, 1400 - 1520, 0930 - 1050, 1100 - 1250, 1530 - 1650] [Viernes] =[0630 - 0750, 1100 - 1220, 1400 - 1550, 0930 - 1050, 0800 - 0850] [Sabado] =[] [Domingo] =[] "
".AU_205","[Lunes] =[0800 - 1050, 1400 - 1650, 0630 - 0750, 1230 - 1350, 1100 - 1220] [Martes] =[1100 - 1250, 1400 - 1520, 0630 - 0750] [Miércoles] =[0800 - 1050, 0630 - 0750, 1400 - 1450, 1500 - 1650, 1230 - 1350, 1100 - 1220] [Jueves] =[1700 - 1950, 1100 - 1250, 0630 - 0920, 1400 - 1550] [Viernes] =[1230 - 1350, 0630 - 0920, 1400 - 1650, 0930 - 1120] [Sabado] =[] [Domingo] =[] "
".AU_207","[Lunes] =[0630 - 0920, 0930 - 1220, 1230 - 1350, 1700 - 1950, 1530 - 1650, 1400 - 1450] [Martes] =[0800 - 0920, 1530 - 1650, 1400 - 1520, 0930 - 1050, 1230 - 1350, 1100 - 1220, 1800 - 2050] [Miércoles] =[1230 - 1350, 1700 - 1950, 0930 - 1050, 1100 - 1220, 1400 - 1650, 0800 - 0920] [Jueves] =[1000 - 1250, 1800 - 2050, 0800 - 0920, 1400 - 1650] [Viernes] =[1400 - 1650, 1100 - 1220, 1230 - 1350, 0930 - 1050, 0800 - 0920] [Sabado] =[0900 - 1150] [Domingo] =[] "
".Z_202","[Lunes] =[1400 - 1650, 0930 - 1220, 1830 - 1920, 0800 - 0850, 1230 - 1320] [Martes] =[1700 - 1950, 0800 - 0920, 1530 - 1620, 0630 - 0720, 1100 - 1150, 0930 - 1050] [Miércoles] =[0930 - 1050, 1530 - 1650, 1230 - 1350, 0630 - 0750, 1400 - 1520, 1100 - 1150, 1700 - 1750] [Jueves] =[1700 - 1820, 1400 - 1550, 0800 - 0920, 1100 - 1220, 0930 - 1050] [Viernes] =[0630 - 0750, 0930 - 1050, 1530 - 1650, 1230 - 1350, 1400 - 1520, 1100 - 1150, 0800 - 0850, 1700 - 1750] [Sabado] =[] [Domingo] =[] "
".TX_602","[Lunes] =[1230 - 1350, 1700 - 1850, 0630 - 0750, 1400 - 1650, 1230 - 1320, 0930 - 1020, 0800 - 0850] [Martes] =[1400 - 1650, 0900 - 1050, 0630 - 0750, 1100 - 1220, 0800 - 0850] [Miércoles] =[1230 - 1350, 1400 - 1520, 0930 - 1220, 0800 - 0850, 1530 - 1820] [Jueves] =[0930 - 1220, 1700 - 1850, 0630 - 0750, 1400 - 1520, 0800 - 0850, 1530 - 1650] [Viernes] =[1400 - 1520, 0930 - 1220, 0630 - 0750, 0800 - 0850, 1530 - 1830] [Sabado] =[] [Domingo] =[] "
".W_404","[Lunes] =[1400 - 1520, 1700 - 1850, 1530 - 1650, 0930 - 1050, 1100 - 1220, 0800 - 0920, 1230 - 1350, 0630 - 0750] [Martes] =[1530 - 1650, 0800 - 0920, 1700 - 1820, 1230 - 1350, 1100 - 1220, 0930 - 1050, 0630 - 0750, 1400 - 1520] [Miércoles] =[1530 - 1650, 1100 - 1220, 0800 - 0920, 1230 - 1350, 1400 - 1520, 0930 - 1050, 0630 - 0750, 1700 - 1820] [Jueves] =[1230 - 1350, 1530 - 1650, 0800 - 0920, 0930 - 1050, 0630 - 0750, 1100 - 1220, 1400 - 1520, 1800 - 2050] [Viernes] =[0630 - 0920, 1230 - 1350, 1100 - 1220, 1400 - 1520, 0930 - 1050, 1800 - 2050] [Sabado] =[0630 - 0920, 0930 - 1220] [Domingo] =[] "
".SD_804","[Lunes] =[0930 - 1050, 0800 - 0920, 1100 - 1220, 1800 - 2050, 1400 - 1650, 1230 - 1350] [Martes] =[1230 - 1350, 1530 - 1650, 0930 - 1050, 0800 - 0920, 1100 - 1220, 1400 - 1520, 1700 - 1950, 0630 - 0750] [Miércoles] =[0930 - 1050, 1230 - 1350, 1400 - 1520, 1100 - 1220, 0800 - 0920] [Jueves] =[0930 - 1050, 1100 - 1220, 0800 - 0920, 1400 - 1520, 1530 - 1650, 1230 - 1350, 0630 - 0750] [Viernes] =[0930 - 1050, 1700 - 1820, 1100 - 1220, 1400 - 1520, 1230 - 1320, 0800 - 0920] [Sabado] =[] [Domingo] =[] "
